,,,,
,Charge,Range (M),Elevation (MIL),Drift (MIL)
,3G,0,0,0
,3G,100,"8,2","0,2"
,3G,200,"16,4","0,3"
,3G,300,"24,6","0,5"
,3G,400,"32,9","0,6"
,3G,500,"41,3","0,8"
,3G,600,"49,7",1
,3G,700,"58,2","1,1"
,3G,800,"66,7","1,3"
,3G,900,"75,3","1,5"
,3G,1000,84,"1,6"
,3G,1100,"92,8","1,8"
,3G,1200,"101,6",2
,3G,1300,"110,5","2,2"
,3G,1400,"119,5","2,3"
,3G,1500,"128,6","2,5"
,3G,1600,"137,8","2,7"
,3G,1700,147,"2,9"
,3G,1800,"156,4","3,1"
,3G,1900,"165,9","3,3"
,3G,2000,"175,5","3,5"
,3G,2100,"185,2","3,7"
,3G,2200,"195,1","3,9"
,3G,2300,205,"4,1"
,3G,2400,"215,2","4,3"
,3G,2500,"225,4","4,5"
,3G,2600,"235,8","4,8"
,3G,2700,"246,4",5
,3G,2800,"257,2","5,2"
,3G,2900,"268,1","5,5"
,3G,3000,"279,3","5,7"
,3G,3100,"290,7",6
,3G,3200,"302,3","6,3"
,3G,3300,"314,1","6,5"
,3G,3400,"326,2","6,8"
,3G,3500,"338,6","7,1"
,3G,3600,"351,4","7,4"
,3G,3700,"364,4","7,7"
,3G,3800,"377,9","8,1"
,3G,3900,"391,8","8,4"
,3G,4000,"406,1","8,8"
,3G,4100,421,"9,2"
,3G,4200,"436,4","9,6"
,3G,4300,"452,6",10
,3G,4400,"469,5","10,5"
,3G,4500,"487,3",11
,3G,4600,"506,2","11,6"
,3G,4700,"526,5","12,2"
,3G,4800,"548,4","12,9"
,3G,4900,"572,6","13,7"
,3G,5000,"599,9","14,6"
,3G,5100,632,"15,8"
,3G,5200,"673,1","17,4"
,3G,5300,"748,1","20,7"
,3G,5300,"812,9",24
,3G,5200,"887,8","28,7"
,3G,5100,"928,8","31,7"
,3G,5000,"960,8","34,3"
,3G,4900,"987,9","36,7"
,3G,4800,"1011,9","39,1"
,3G,4700,"1033,7","41,4"
,3G,4600,"1053,8","43,8"
,3G,4500,"1072,5","46,2"
,3G,4400,"1090,1","48,7"
,3G,4300,"1106,7","51,2"
,3G,4200,"1122,6","53,9"
,3G,4100,"1137,7","56,7"
,3G,4000,"1152,2","59,6"
,3G,3900,"1166,1","62,8"
,3G,3800,"1179,5","66,2"
,3G,3700,"1192,4",70
,3G,3600,"1204,8","74,1"
,3G,3500,"1216,7","78,7"
,3G,3400,"1228,2",84
,3G,3300,"1239,3","89,9"
,3G,3200,1250,"96,9"
,3G,3100,"1260,1","105,1"
,3G,3000,"1269,9","114,9"
,3G,2900,"1279,1","126,7"
,4G,0,0,0
,4G,100,"6,2","0,1"
,4G,200,"12,3","0,2"
,4G,300,"18,4","0,3"
,4G,400,"24,6","0,5"
,4G,500,"30,9","0,6"
