,,,,,,,,,
,Carga 7R,,,,,,,,
,,,,,,,,,
,RANGE (M),ELEV (MIL),FS FOR GRAZE BURST FUZE M582 (SEC),DFS PER 10 M DEC HOB (M),DR PER 1 MIL D ELEV (M),FOR K (MIL),TIME OF FLIGHT (SEC),AZIMUTH CORRECTIONS DRIFT (CORR TO L) (MIL),AZIMUTH CORRECTIONS CW OF 1 KNOT (MIL)
,17500,"689,4","60,3","0,04",6,28,"60,3","26,1","0,77"
,17600,"706,5","61,5","0,04",5,33,"61,5",27,"0,78"
,17700,"726,7","62,9","0,04",4,41,"62,9","28,2","0,79"
,17800,"752,8","64,7","0,04",,,"64,7","29,8","0,8"
,17800,"870,6","72,4","0,03",,,"72,4","38,5","0,95"
,17700,"894,6",74,"0,03",5,41,74,"40,6","0,96"
,17600,"912,4","75,1","0,03",6,32,"75,1","42,2","0,98"
,17500,"927,3",76,"0,03",7,27,76,"43,7","0,99"
,17400,"940,3","76,8","0,03",8,24,"76,8",45,1
,17300,"952,1","77,5","0,03",9,22,"77,5","46,3","1,02"
,17200,"962,9","78,1","0,03",10,20,"78,1","47,5","1,03"
,17100,"972,9","78,7","0,03",10,19,"78,7","48,6","1,04"
,17000,"982,2","79,2","0,03",11,17,"79,2","49,7","1,06"
,16900,"991,1","79,7","0,03",12,16,"79,7","50,8","1,07"
,16800,"999,5","80,2","0,03",12,16,"80,2","51,9","1,08"
,16700,"1007,5","80,6","0,03",13,15,"80,6","52,9","1,09"
,16600,"1015,1","81,1","0,03",13,14,"81,1",54,"1,1"
,16500,"1022,5","81,5","0,03",14,14,"81,5",55,"1,11"
,16400,"1029,6","81,8","0,03",14,13,"81,8",56,"1,13"
,16300,"1036,4","82,2","0,03",15,13,"82,2",57,"1,14"
,16200,1043,"82,6","0,03",15,12,"82,6","58,1","1,15"
,16100,"1049,5","82,9","0,03",16,12,"82,9","59,1","1,16"
,16000,"1055,7","83,2","0,03",16,11,"83,2","60,1","1,17"
,15900,"1061,8","83,6","0,03",17,11,"83,6","61,1","1,19"
,15800,"1067,7","83,9","0,03",17,11,"83,9","62,1","1,2"
,15700,"1073,4","84,2","0,03",18,10,"84,2","63,1","1,21"
,15600,1079,"84,4","0,03",18,10,"84,4","64,1","1,22"
,15500,"1084,5","84,7","0,03",18,10,"84,7","65,2","1,23"
,15400,"1089,9",85,"0,03",19,9,85,"66,2","1,25"
,15300,"1095,1","85,3","0,03",19,9,"85,3","67,2","1,26"
,15200,"1100,3","85,5","0,03",20,9,"85,5","68,3","1,27"
,15100,"1105,3","85,8","0,03",20,9,"85,8","69,3","1,28"
,15000,"1110,3",86,"0,03",20,8,86,"70,4","1,3"
,14900,"1115,1","86,2","0,03",21,8,"86,2","71,5","1,31"
,14800,"1119,9","86,5","0,03",21,8,"86,5","72,6","1,32"
,14700,"1124,6","86,7","0,03",22,8,"86,7","73,7","1,34"
,14600,"1129,2","86,9","0,03",22,8,"86,9","74,8","1,35"
,14500,"1133,7","87,1","0,03",22,8,"87,1",76,"1,36"
,14400,"1138,1","87,3","0,03",23,7,"87,3","77,1","1,38"
,14300,"1142,5","87,6","0,03",23,7,"87,6","78,3","1,39"
,14200,"1146,8","87,8","0,03",23,7,"87,8","79,5","1,41"
,14100,1151,88,"0,03",24,7,88,"80,7","1,42"
,14000,"1155,2","88,2","0,03",24,7,"88,2","81,9","1,44"
,13900,"1159,3","88,3","0,03",25,7,"88,3","83,2","1,45"
,13800,"1163,3","88,5","0,03",25,6,"88,5","84,5","1,47"
,13700,"1167,3","88,7","0,03",25,6,"88,7","85,8","1,48"
,13600,"1171,2","88,9","0,03",26,6,"88,9","87,1","1,5"
,13500,"1175,1","89,1","0,03",26,6,"89,1","88,5","1,52"
,13400,"1178,9","89,2","0,03",26,6,"89,2","89,9","1,53"
,13300,"1182,6","89,4","0,03",27,6,"89,4","91,3","1,55"
,13200,"1186,3","89,6","0,03",27,6,"89,6","92,8","1,57"
,13100,1190,"89,7","0,03",28,5,"89,7","94,3","1,59"
,13000,"1193,6","89,9","0,03",28,5,"89,9","95,9","1,61"
,12900,"1197,1","90,1","0,03",28,5,"90,1","97,5","1,63"
,12800,"1200,6","90,2","0,03",29,5,"90,2","99,2","1,65"
,12700,"1204,1","90,4","0,03",29,5,"90,4","100,9","1,67"
,12600,"1207,5","90,5","0,03",30,5,"90,5","102,6","1,69"
,12500,"1210,8","90,7","0,03",30,5,"90,7","104,5","1,71"
,12400,"1214,1","90,8","0,03",31,5,"90,8","106,4","1,74"
,12300,"1217,4",91,"0,03",31,5,91,"108,3","1,76"
,12200,"1220,6","91,1","0,03",31,4,"91,1","110,3","1,79"
,12100,"1223,7","91,3","0,03",32,4,"91,3","112,4","1,81"
,12000,"1226,8","91,4","0,03",32,4,"91,4","114,6","1,84"
,11900,"1229,9","91,6","0,03",33,4,"91,6","116,9","1,87"
,11800,"1232,9","91,7","0,03",33,,"91,7","119,3","1,9"
,11700,"1235,9","91,9","0,03",34,,"91,9","121,8","1,93"
,11600,"1238,8",92,"0,03",34,,92,"124,3","1,96"
,11500,"1241,7","92,2","0,03",35,,"92,2",127,"1,99"
,11400,"1244,5","92,3","0,03",36,,"92,3","129,9","2,03"
,11300,"1247,3","92,4","0,03",36,,"92,4","132,8","2,06"
,11200,"1250,1","92,6","0,03",37,,"92,6","135,9","2,1"
,11100,"1252,8","92,7","0,03",37,,"92,7","139,2","2,14"
,11000,"1255,4","92,9","0,03",38,,"92,9","142,6","2,18"
,10900,1258,93,"0,03",39,,93,"146,2","2,23"
,10800,"1260,6","93,2","0,03",40,,"93,2","149,9",
,10700,"1263,1","93,3","0,03",40,,"93,3","153,8",
,10600,"1265,5","93,5","0,03",41,,"93,5",158,
,10500,"1267,9","93,6","0,03",,,"93,6","162,3",
,10412,1270,,,,,,,
,,,,,,,,,
,Carga 1L,,,,,,,,
,,,,,,,,,
,RANGE (M),ELEV (MIL),FS FOR GRAZE BURST FUZE M582 (SEC),DFS PER 10 M DEC HOB (M),DR PER 1 MIL D ELEV (M),FOR K (MIL),TIME OF FLIGHT (SEC),AZIMUTH CORRECTIONS DRIFT (CORR TO L) (MIL),AZIMUTH CORRECTIONS CW OF 1 KNOT (MIL)
,3500,"240,5","13,5","0,16",12,4,"13,5","4,8","0,14"
,3600,"248,7","13,9","0,15",12,4,"13,9",5,"0,15"
,3700,257,"14,3","0,15",12,4,"14,3","5,1","0,15"
,3800,"265,4","14,8","0,14",12,4,"14,8","5,3","0,16"
,3900,274,"15,3","0,14",12,4,"15,3","5,5","0,16"
,4000,"282,7","15,7","0,13",11,5,"15,7","5,7","0,17"
,4100,"291,5","16,2","0,13",11,5,"16,2","5,9","0,17"
,4200,"300,5","16,7","0,13",11,5,"16,7","6,1","0,18"
,4300,"309,7","17,1","0,12",11,5,"17,1","6,3","0,18"
,4400,319,"17,6","0,12",11,6,"17,6","6,6","0,19"
,4500,"328,5","18,1","0,12",10,6,"18,1","6,8","0,19"
,4600,"338,2","18,6","0,11",10,6,"18,6",7,"0,2"
,4700,"348,1","19,1","0,11",10,6,"19,1","7,2","0,2"
,4800,"358,2","19,6","0,11",10,7,"19,6","7,5","0,21"
,4900,"368,5","20,2","0,11",10,7,"20,2","7,7","0,21"
,5000,"379,1","20,7","0,1",9,7,"20,7",8,"0,22"
,5100,390,"21,3","0,1",9,8,"21,3","8,3","0,22"
,5200,"401,1","21,8","0,1",9,8,"21,8","8,6","0,23"
,5300,"412,6","22,4","0,1",9,8,"22,4","8,9","0,23"
,5400,"424,4",23,"0,09",8,9,23,"9,2","0,24"
,5500,"436,6","23,6","0,09",8,9,"23,6","9,5","0,25"
,5600,"449,3","24,2","0,09",8,10,"24,2","9,9","0,25"
,5700,"462,4","24,8","0,09",7,10,"24,8","10,2","0,26"
,5800,"476,1","25,5","0,08",7,11,"25,5","10,6","0,26"
,5900,"490,4","26,2","0,08",7,12,"26,2",11,"0,27"
,6000,"505,4","26,9","0,08",6,13,"26,9","11,5","0,28"
,6100,"521,2","27,6","0,08",6,14,"27,6","11,9","0,29"
,6200,"538,1","28,4","0,08",6,15,"28,4","12,5","0,29"
,6300,"556,2","29,2","0,07",5,17,"29,2",13,"0,3"
,6400,"575,9","30,1","0,07",5,19,"30,1","13,7","0,31"
,6500,"597,6","31,1","0,07",4,21,"31,1","14,4","0,32"
,,,,,,,,,
,Carga 2L,,,,,,,,
,,,,,,,,,
,RANGE (M),ELEV (MIL),FS FOR GRAZE BURST FUZE M582 (SEC),DFS PER 10 M DEC HOB (M),DR PER 1 MIL D ELEV (M),FOR K (MIL),TIME OF FLIGHT (SEC),AZIMUTH CORRECTIONS DRIFT (CORR TO L) (MIL),AZIMUTH CORRECTIONS CW OF 1 KNOT (MIL)
,7000,"304,8","22,3","0,09",16,3,"22,3","7,2","0,39"
,7100,311,"22,7","0,09",16,4,"22,7","7,3","0,39"
,7200,"317,2","23,1","0,09",16,4,"23,1","7,5","0,39"
,7300,"323,6","23,5","0,09",16,4,"23,5","7,7","0,4"
,7400,330,"23,9","0,09",16,4,"23,9","7,8","0,4"
,7500,"336,5","24,3","0,09",15,4,"24,3",8,"0,41"
,7600,343,"24,7","0,09",15,4,"24,7","8,2","0,41"
,7700,"349,7","25,2","0,08",15,4,"25,2","8,4","0,41"
,7800,"356,5","25,6","0,08",15,4,"25,6","8,6","0,42"
,7900,"363,3",26,"0,08",15,4,26,"8,7","0,42"
,8000,"370,2","26,5","0,08",14,4,"26,5","8,9","0,43"
,8100,"377,3","26,9","0,08",14,5,"26,9","9,1","0,43"
,8200,"384,4","27,4","0,08",14,5,"27,4","9,3","0,43"
,8300,"391,7","27,8","0,08",13,5,"27,8","9,6","0,44"
,8400,399,"28,3","0,08",13,5,"28,3","9,8","0,44"
,8500,"406,5","28,8","0,07",13,5,"28,8",10,"0,45"
,8600,"414,1","29,3","0,07",13,5,"29,3","10,2","0,45"
,8700,"421,9","29,7","0,07",13,5,"29,7","10,5","0,46"
,8800,"429,8","30,2","0,07",12,6,"30,2","10,7","0,46"
,8900,"437,8","30,7","0,07",12,6,"30,7",11,"0,46"
,9000,446,"31,3","0,07",12,6,"31,3","11,2","0,47"
,9100,"454,4","31,8","0,07",12,6,"31,8","11,5","0,47"
,9200,463,"32,3","0,07",12,6,"32,3","11,8","0,48"
,9300,"471,8","32,8","0,07",11,7,"32,8",12,"0,48"
,9400,"480,8","33,4","0,06",11,7,"33,4","12,3","0,49"
,9500,"490,1",34,"0,06",11,7,34,"12,6","0,49"
,9600,"499,6","34,5","0,06",10,7,"34,5",13,"0,5"
,9700,"509,4","35,1","0,06",10,8,"35,1","13,3","0,5"
,9800,"519,5","35,7","0,06",10,8,"35,7","13,6","0,51"
,9900,530,"36,4","0,06",9,9,"36,4",14,"0,51"
,10000,"540,8",37,"0,06",9,9,37,"14,4","0,52"
,10100,"552,1","37,7","0,06",9,10,"37,7","14,8","0,53"
,10200,"563,9","38,4","0,06",8,10,"38,4","15,2","0,53"
,10300,"576,3","39,1","0,06",8,11,"39,1","15,7","0,54"
,10400,"589,4","39,9","0,05",7,12,"39,9","16,2","0,55"
,10500,"603,4","40,7","0,05",7,13,"40,7","16,8","0,55"
