velocity_ms,elevation_deg,range_m,time_of_flight_s,max_height_m
247,10,2127.044538649921,8.744362871301078,93.76383533314257
247,15,3109.531090723751,13.033293402716131,208.29908614972427
247,20,3997.5361141045946,17.223032701618788,363.7460389845633
247,25,4764.078025509249,21.281694322110653,555.3815168357269
247,30,5385.865836848604,25.178389398572882,777.3827726809376
247,35,5844.006840114931,28.883461728584784,1023.0044106993954
247,40,6124.5806527545155,32.36871347453113,1284.7833417104544
247,45,6219.062181447503,35.607619766172725,1554.7655453618754
247,50,6124.5806527545155,38.57553057092509,1824.7477490132962
247,55,5844.006840114932,41.24985829549052,2086.526680024356
247,60,5385.865836848605,43.61024969108182,2332.148318042813
247,65,4764.078025509249,45.638740753935274,2554.149573888024
247,70,3997.536114104596,47.31989344222617,2745.7850517391876
247,75,3109.531090723751,48.64091316888886,2901.2320045740266
247,80,2127.0445386499214,49.59174617614992,3015.767255390608
286,10,2851.771625225932,10.125051745717037,125.71107008654019
286,15,4169.011213047909,15.09118183472394,279.2707969431207
286,20,5359.577504782891,19.942458917663863,487.6816699959244
286,25,6387.295746112122,24.641961846654443,744.6112303282322
286,30,7220.939238323337,29.153924566768595,1042.252803261977
286,35,7835.178145749659,33.4440083173087,1371.5627002174717
286,40,8211.349130008824,37.479562970509726,1722.5350066145704
286,45,8338.02242609582,41.22987551872631,2084.5056065239546
286,50,8211.349130008824,44.6664038189659,2446.476206433339
286,55,7835.17814574966,47.762993815831116,2797.448512830438
286,60,7220.939238323337,50.49607858967369,3126.758409785932
286,65,6387.295746112122,52.84485771508295,3424.3999827196785
286,70,5359.577504782893,54.79145556468293,3681.3295430519847
286,75,4169.011213047909,56.321057353450264,3889.7404161047903
286,80,2851.771625225934,57.422021888173596,4043.3001429613696
320,10,3570.118519525838,11.328729225977105,157.37705482984148
320,15,5219.1641182466865,16.88523841647434,349.617702662423
320,20,6709.628056259085,22.313240747036488,610.5262238689256
320,25,7996.2233410176705,27.571425842410566,932.1750450585723
320,30,9039.85742584368,32.619775739041785,1304.7910295616714
320,35,9808.820017174006,37.4198694459398,1717.0524292418834
320,40,10279.746575784924,41.93517535161928,2156.432890084259
320,45,10438.328236493373,46.13132925172175,2609.5820591233432
320,50,10279.746575784924,49.97639588136044,3062.731228162427
320,55,9808.820017174008,53.44111196176908,3502.1116890048024
320,60,9039.857425843682,56.499108911523,3914.3730886850144
320,65,7996.2233410176705,59.12711352736553,4286.989073188114
320,70,6709.6280562590855,61.305125107337545,4608.637894377761
320,75,5219.1641182466865,63.016567668196096,4869.546415584264
320,80,3570.1185195258404,64.24841609865577,5061.787063416844
346,10,4173.831139487845,12.249188475587745,183.98976070321584
346,15,6101.732925586136,18.25716403781288,408.7386024602992
346,20,7844.236644366334,24.126191557733204,713.7671622723858
346,25,9348.39720208273,29.811604192106422,1089.8073017014844
346,30,10568.511441331075,35.27013251783893,1525.4332313965335
346,35,11467.506808359409,40.46023383842241,2007.4086779211066
346,40,12018.067783854178,45.34240834893834,2521.0890612238973
346,45,12203.465851172272,49.87949975342414,3050.866462793068
346,50,12018.067783854178,54.03697804672098,3580.6438643622387
346,55,11467.506808359409,57.78320230866282,4094.3242476650294
346,60,10568.511441331077,61.08966151058425,4576.299694189603
346,65,9348.39720208273,63.93119150146399,5011.925623884652
346,70,7844.236644366335,66.28616652230872,5387.9657633137485
346,75,6101.732925586136,68.13666379123703,5692.994323125837
346,80,4173.8311394878465,69.46859990667156,5917.743164882921
380,10,5034.424943550108,13.452865955847814,221.92623747489367
380,15,7359.836901121303,20.051220619563278,493.0155885200575
380,20,9461.6239387091,26.496973387105832,860.9373703776649
380,25,11275.924320731949,32.741068187862545,1314.5124658833774
380,30,12747.611448162379,38.73598369011212,1839.9592252803257
380,35,13831.968852343034,44.43609496705351,2421.3122146731243
380,40,14496.048882259207,49.798020730047895,3040.907317657881
380,45,14719.673802242609,54.78095348641957,3679.918450560651
380,50,14496.048882259207,59.34697010911552,4318.929583463422
380,55,13831.968852343034,63.461320454600795,4938.52468644818
380,60,12747.611448162379,67.09269183243356,5519.877675840978
380,65,11275.924320731949,70.21344731374657,6045.324435237926
380,70,9461.623938709103,72.79983606496333,6498.899530743638
380,75,7359.836901121303,74.83217410598287,6866.821312601248
380,80,5034.424943550111,76.29499411715372,7137.91066364641
453,10,7154.49659446658,16.03723231052384,315.38269574782174
453,15,10459.174311926603,23.903165633321485,700.6318275942692
453,20,13446.055310516313,31.58718143252353,1223.490975331234
453,25,16024.384722528272,39.030799708162455,1868.0733283342238
453,30,18115.82131347613,46.17737003058103,2614.7935779816503
453,35,19656.817840861924,52.97250268440853,3440.963007346657
453,40,20600.55190498289,59.36448260713604,4321.47887637989
453,45,20918.34862385321,65.3046629719686,5229.5871559633015
453,50,20600.55190498289,70.74783541955087,6137.695435546714
453,55,19656.817840861924,75.65257412087935,7018.211304579946
453,60,18115.82131347613,79.98155105287475,7844.380733944952
453,65,16024.384722528272,83.70182008717684,8591.100983592381
453,70,13446.055310516316,86.7850677300747,9235.683336595368
453,75,10459.174311926603,89.20782860529009,9758.542484332336
453,80,7154.496594466583,90.95166403965958,10143.791616178782
544,10,10317.642521429674,19.25883968416108,454.8196884582419
544,15,15083.384301732922,28.704905308006378,1010.3951606944024
544,20,19390.825082588755,37.93250926996203,1764.4207869811953
544,25,23109.085455541066,46.871423932097954,2693.9858802192734
544,30,26125.187960688236,55.453618756371036,3770.8460754332295
544,35,28347.489849632882,63.613778058097665,4962.281520509044
544,40,29708.467604018428,71.28979809775278,6232.091052343508
544,45,30166.76860346585,78.42325972792698,7541.692150866461
544,50,29708.467604018428,84.95987299831275,8851.293249389417
544,55,28347.489849632882,90.84989033500744,10121.102781223879
544,60,26125.18796068824,96.04848514958911,11312.538226299694
544,65,23109.085455541066,100.51609299652141,12389.39842151365
544,70,19390.82508258876,104.21871268247382,13318.96351475173
544,75,15083.384301732922,107.12816503593336,14072.989141038523
544,80,10317.642521429678,109.2223073677148,14628.56461327468
659,10,15140.963288849616,23.330101749746603,667.4400854351405
659,15,22134.607543323134,34.77303786392684,1482.7375540033174
659,20,28455.70294824464,45.951330163428274,2589.257217070517
659,25,33912.18621836421,56.77990509421425,3953.378034600407
659,30,38338.26487063301,67.17635066258919,5533.651885830783
659,35,41599.45474490571,77.06154364023227,7282.062949449164
659,40,43596.666237094265,86.36025173974095,9145.486640026189
659,45,44269.215086646276,95.00170617776448,11067.303771661567
659,50,43596.666237094265,102.92014026817665,12989.120903296944
659,55,41599.45474490572,110.05528994626822,14852.544593873974
659,60,38338.26487063301,116.35285241466768,16600.955657492348
659,65,33912.18621836421,121.76489942041842,18181.229508722732
659,70,28455.70294824465,126.25024201792326,19545.350326252617
659,75,22134.607543323134,129.77474404169135,20651.869989319825
